outc_cod,Count,Percentage
Unknown,4542,34.419521066989994
HO,2857,21.65050015156108
OT,2048,15.51985450136405
RI,1297,9.828735980600182
DE,966,7.320400121248863
DS,882,6.683843588966354
LT,587,4.448317672021824
CA,17,0.1288269172476508
